inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,atr,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
E868,E869,E870,E871,r8,E872,E873,E874,E875,E876,E877,E878,E879,E880,E881,E882,E883,E884,E885,E886,E887,E888,E889,E890,E891,E892,E893,E894,E895,E896,E897,E898,E899,E900,E901,E902,E903,E904,E905,E906,E907,E908,E909,E910,E911
E912,E913,E914,E915,r9,E916,E917,E918,E919,E920,E921,E922,E923,E924,E925,E926,E927,E928,E929,E930,E931,E932,E933,E934,E935,E936,E937,E938,E939,E940,E941,E942,E943,E944,E945,E946,E947,E948,E949,E950,E951,E952,E953,E954,E955
E956,E957,E958,E959,r10,E960,E961,E962,E963,E964,E965,E966,E967,E968,E969,E970,E971,E972,E973,E974,E975,E976,E977,E978,E979,E980,E981,E982,E983,E984,E985,E986,E987,E988,E989,E990,E991,E992,E993,E994,E995,E996,E997,E998,E999
E1000,E1001,E1002,E1003,E1004,E1005,E1006,E1007,E1008,E1009,E1010,E1011,E1012,E1013,E1014,E1015,E1016,E1017,E1018,E1019,E1020,E1021,E1022,E1023,r11,E1024,E1025,E1026,E1027,E1028,E1029,E1030,E1031,E1032,E1033,E1034,E1035,E1036,E1037,E1038,E1039,E1040,E1041,E1042,E1043
E1044,E1045,E1046,E1047,E1048,E1049,E1050,E1051,E1052,E1053,E1054,E1055,E1056,E1057,E1058,E1059,E1060,E1061,E1062,E1063,E1064,E1065,E1066,E1067,r17,E1068,E1069,E1070,E1071,E1072,E1073,E1074,E1075,E1076,E1077,E1078,E1079,E1080,E1081,E1082,E1083,E1084,E1085,E1086,E1087
E1088,E1089,E1090,E1091,E1092,E1093,E1094,E1095,E1096,E1097,E1098,E1099,E1100,E1101,E1102,E1103,E1104,E1105,E1106,E1107,E1108,E1109,E1110,E1111,r23,E1112,E1113,E1114,E1115,E1116,E1117,E1118,E1119,E1120,E1121,E1122,E1123,E1124,E1125,E1126,E1127,E1128,E1129,E1130,E1131
E1132,E1133,E1134,E1135,E1136,E1137,E1138,E1139,E1140,E1141,E1142,E1143,E1144,E1145,E1146,E1147,E1148,E1149,E1150,E1151,E1152,E1153,E1154,E1155,r31,E1156,E1157,E1158,E1159,E1160,E1161,E1162,E1163,E1164,E1165,E1166,E1167,E1168,E1169,E1170,E1171,E1172,E1173,E1174,E1175
E1176,E1177,E1178,s51,E1179,E1180,E1181,E1182,E1183,E1184,E1185,E1186,E1187,E1188,E1189,E1190,E1191,E1192,E1193,E1194,E1195,E1196,E1197,E1198,E1199,E1200,E1201,E1202,E1203,E1204,E1205,E1206,E1207,E1208,E1209,E1210,E1211,E1212,E1213,E1214,E1215,E1216,E1217,E1218,E1219
E1220,E1221,E1222,s52,E1223,E1224,E1225,E1226,E1227,E1228,E1229,E1230,E1231,E1232,E1233,E1234,E1235,E1236,E1237,E1238,E1239,E1240,E1241,E1242,E1243,E1244,E1245,E1246,E1247,E1248,E1249,E1250,E1251,E1252,E1253,E1254,E1255,E1256,E1257,E1258,E1259,E1260,E1261,E1262,E1263
E1264,E1265,E1266,r14,E1267,E1268,E1269,E1270,E1271,E1272,E1273,E1274,E1275,E1276,E1277,E1278,E1279,E1280,E1281,E1282,E1283,E1284,E1285,E1286,E1287,E1288,E1289,E1290,E1291,E1292,E1293,E1294,E1295,E1296,E1297,E1298,E1299,E1300,E1301,E1302,E1303,E1304,E1305,E1306,E1307
E1308,E1309,E1310,r15,E1311,E1312,E1313,E1314,E1315,E1316,E1317,E1318,E1319,E1320,E1321,E1322,E1323,E1324,E1325,E1326,E1327,E1328,E1329,E1330,E1331,E1332,E1333,E1334,E1335,E1336,E1337,E1338,E1339,E1340,E1341,E1342,E1343,E1344,E1345,E1346,E1347,E1348,E1349,E1350,E1351
E1352,E1353,E1354,r16,E1355,E1356,E1357,E1358,E1359,E1360,E1361,E1362,E1363,E1364,E1365,E1366,E1367,E1368,E1369,E1370,E1371,E1372,E1373,E1374,E1375,E1376,E1377,E1378,E1379,E1380,E1381,E1382,E1383,E1384,E1385,E1386,E1387,E1388,E1389,E1390,E1391,E1392,E1393,E1394,E1395
E1396,E1397,E1398,E1399,s55,E1400,E1401,E1402,E1403,E1404,E1405,E1406,s56,E1407,E1408,E1409,E1410,E1411,E1412,E1413,E1414,E1415,E1416,E1417,E1418,E1419,E1420,E1421,E1422,E1423,E1424,E1425,E1426,E1427,E1428,E1429,53,54,E1430,E1431,E1432,E1433,E1434,E1435,E1436
E1437,E1438,E1439,E1440,r24,E1441,E1442,E1443,E1444,r24,r24,E1445,E1446,E1447,E1448,r24,E1449,E1450,E1451,E1452,r24,r24,r24,r24,E1453,E1454,E1455,E1456,E1457,E1458,E1459,E1460,E1461,E1462,E1463,E1464,E1465,E1466,E1467,E1468,E1469,E1470,E1471,E1472,E1473
E1474,E1475,E1476,E1477,s13,E1478,E1479,E1480,E1481,s11,s12,E1482,E1483,E1484,E1485,s16,E1486,E1487,E1488,E1489,s39,E1490,E1491,E1492,E1493,E1494,E1495,E1496,E1497,E1498,E1499,E1500,E1501,36,E1502,37,E1503,E1504,38,14,E1505,57,E1506,E1507,E1508
E1509,E1510,E1511,E1512,s13,E1513,E1514,E1515,E1516,s11,s12,E1517,E1518,E1519,E1520,s16,E1521,E1522,E1523,E1524,s39,E1525,E1526,E1527,E1528,E1529,E1530,E1531,E1532,E1533,E1534,E1535,E1536,36,E1537,37,E1538,E1539,38,14,E1540,58,E1541,E1542,E1543
E1544,E1545,E1546,E1547,s13,E1548,E1549,E1550,E1551,s11,s12,E1552,E1553,E1554,E1555,s16,E1556,E1557,E1558,E1559,s39,E1560,E1561,E1562,E1563,E1564,E1565,E1566,E1567,E1568,E1569,E1570,E1571,36,E1572,37,E1573,E1574,38,14,E1575,59,E1576,E1577,E1578
E1579,E1580,E1581,E1582,r30,E1583,E1584,E1585,E1586,r30,r30,E1587,E1588,E1589,E1590,r30,E1591,E1592,E1593,E1594,r30,r30,r30,r30,E1595,E1596,E1597,E1598,E1599,E1600,E1601,E1602,E1603,E1604,E1605,E1606,E1607,E1608,E1609,E1610,E1611,E1612,E1613,E1614,E1615
E1616,E1617,E1618,E1619,r32,E1620,E1621,E1622,E1623,r32,r32,E1624,E1625,E1626,E1627,r32,E1628,E1629,E1630,E1631,E1632,r32,E1633,r32,E1634,E1635,E1636,E1637,E1638,E1639,E1640,E1641,E1642,E1643,E1644,E1645,E1646,E1647,E1648,E1649,E1650,E1651,E1652,E1653,E1654
E1655,E1656,E1657,E1658,s13,E1659,E1660,E1661,E1662,s11,s12,E1663,E1664,E1665,E1666,s16,E1667,E1668,E1669,E1670,E1671,E1672,s44,E1673,E1674,E1675,E1676,E1677,E1678,E1679,E1680,E1681,E1682,41,E1683,42,E1684,E1685,43,14,E1686,E1687,E1688,E1689,60
E1690,E1691,E1692,E1693,s13,E1694,E1695,E1696,E1697,s11,s12,E1698,E1699,E1700,E1701,s16,E1702,E1703,E1704,E1705,E1706,E1707,s44,E1708,E1709,E1710,E1711,E1712,E1713,E1714,E1715,E1716,E1717,41,E1718,42,E1719,E1720,43,14,E1721,E1722,E1723,E1724,61
E1725,E1726,E1727,E1728,s13,E1729,E1730,E1731,E1732,s11,s12,E1733,E1734,E1735,E1736,s16,E1737,E1738,E1739,E1740,E1741,E1742,s44,E1743,E1744,E1745,E1746,E1747,E1748,E1749,E1750,E1751,E1752,41,E1753,42,E1754,E1755,43,14,E1756,E1757,E1758,E1759,62
E1760,E1761,E1762,E1763,r37,E1764,E1765,E1766,E1767,r37,r37,E1768,E1769,E1770,E1771,r37,E1772,E1773,E1774,E1775,E1776,r37,E1777,r37,E1778,E1779,E1780,E1781,E1782,E1783,E1784,E1785,E1786,E1787,E1788,E1789,E1790,E1791,E1792,E1793,E1794,E1795,E1796,E1797,E1798
E1799,E1800,E1801,E1802,s55,E1803,E1804,E1805,E1806,E1807,E1808,E1809,s56,E1810,E1811,E1812,E1813,E1814,E1815,E1816,E1817,E1818,E1819,E1820,E1821,E1822,E1823,E1824,E1825,E1826,E1827,E1828,E1829,E1830,E1831,E1832,E1833,64,E1834,E1835,63,E1836,E1837,E1838,E1839
E1840,E1841,E1842,E1843,s55,E1844,E1845,E1846,E1847,E1848,E1849,E1850,s56,E1851,E1852,E1853,E1854,E1855,E1856,E1857,E1858,E1859,E1860,E1861,E1862,E1863,E1864,E1865,E1866,E1867,E1868,E1869,E1870,E1871,E1872,E1873,E1874,64,E1875,E1876,65,E1877,E1878,E1879,E1880
E1881,E1882,E1883,E1884,r3,E1885,E1886,E1887,E1888,r3,r3,E1889,E1890,E1891,E1892,r3,E1893,E1894,E1895,E1896,E1897,r3,E1898,r3,E1899,E1900,E1901,E1902,E1903,E1904,E1905,E1906,E1907,E1908,E1909,E1910,E1911,E1912,E1913,E1914,E1915,E1916,E1917,E1918,E1919
